customer_id,frequency,Recency,Monetary,R,F,M,RFM_score,Segments
1,11,2199,9084.45,3,3,2,332,Other
2,3,2320,4149.07,2,1,1,211,Other
4,2,2387,1047.72,2,1,1,211,Other
5,6,2208,5903.2,3,2,2,322,Recent Users
6,5,2256,5931.6900000000005,3,2,2,322,Recent Users
7,3,2445,995.38,1,1,1,111,Lost Customers
8,10,2214,12024.759999999998,3,3,3,333,Champions
9,6,2270,5357.549999999999,3,2,2,322,Recent Users
11,6,2238,6779.4400000000005,3,2,2,322,Recent Users
12,7,2259,6394.21,3,2,2,322,Recent Users
13,7,2219,7734.74,3,2,2,322,Recent Users
14,4,2239,3593.57,3,1,1,311,Can't Loose Customers
15,6,2227,4923.34,3,2,1,321,Price Sensitive
16,5,2291,7763.79,2,2,2,222,Loyal Customers
17,5,2192,4676.1900000000005,3,2,1,321,Price Sensitive
18,7,2326,8878.62,2,2,2,222,Loyal Customers
19,3,2294,4238.1900000000005,2,1,1,211,Other
20,4,2223,6618.86,3,1,2,312,Other
21,5,2198,7446.21,3,2,2,322,Recent Users
24,8,2209,8078.950000000001,3,2,2,322,Recent Users
25,12,2197,9996.33,3,3,2,332,Other
26,3,2305,3943.12,2,1,1,211,Other
27,7,2335,7679.97,2,2,2,222,Loyal Customers
28,6,2275,5492.900000000001,3,2,2,322,Recent Users
29,9,2214,10855.57,3,3,3,333,Champions
30,3,2203,3736.5199999999995,3,1,1,311,Can't Loose Customers
31,4,2281,3110.0,3,1,1,311,Can't Loose Customers
32,7,2330,7873.18,2,2,2,222,Loyal Customers
33,7,2230,9384.23,3,2,2,322,Recent Users
35,4,2284,4182.28,3,1,1,311,Can't Loose Customers
36,2,2355,1781.04,2,1,1,211,Other
37,9,2199,11291.71,3,3,3,333,Champions
38,4,2242,4502.59,3,1,1,311,Can't Loose Customers
39,12,2226,11237.19,3,3,3,333,Champions
40,6,2206,6175.2699999999995,3,2,2,322,Recent Users
41,9,2221,9114.15,3,3,2,332,Other
42,4,2303,1936.46,2,1,1,211,Other
43,9,2253,6574.59,3,3,2,332,Other
44,7,2227,7497.4,3,2,2,322,Recent Users
45,3,2235,2912.33,3,1,1,311,Can't Loose Customers
46,5,2245,4923.139999999999,3,2,1,321,Price Sensitive
47,7,2227,8022.01,3,2,2,322,Recent Users
48,8,2274,9654.119999999999,3,2,2,322,Recent Users
49,5,2228,7582.92,3,2,2,322,Recent Users
50,8,2218,9252.66,3,2,2,322,Recent Users
51,8,2247,9667.460000000001,3,2,2,322,Recent Users
52,7,2196,10106.57,3,2,3,323,Other
53,5,2199,5472.74,3,2,2,322,Recent Users
54,7,2259,9813.66,3,2,2,322,Recent Users
55,8,2238,6754.21,3,2,2,322,Recent Users
56,7,2194,5060.86,3,2,2,322,Recent Users
57,6,2227,8748.75,3,2,2,322,Recent Users
58,8,2212,6967.3099999999995,3,2,2,322,Recent Users
59,3,2214,2797.47,3,1,1,311,Can't Loose Customers
60,2,2392,1526.9,2,1,1,211,Other
61,7,2239,8397.28,3,2,2,322,Recent Users
62,6,2197,5845.950000000001,3,2,2,322,Recent Users
63,3,2260,4156.66,3,1,1,311,Can't Loose Customers
64,5,2195,4111.12,3,2,1,321,Price Sensitive
65,6,2328,8056.469999999999,2,2,2,222,Loyal Customers
66,5,2235,6489.33,3,2,2,322,Recent Users
67,5,2308,5304.15,2,2,2,222,Loyal Customers
68,3,2276,5127.98,3,1,2,312,Other
69,6,2212,8395.75,3,2,2,322,Recent Users
70,5,2196,4801.11,3,2,1,321,Price Sensitive
71,1,2323,1415.01,2,1,1,211,Other
72,5,2214,4360.42,3,2,1,321,Price Sensitive
73,6,2360,5265.87,2,2,2,222,Loyal Customers
74,3,2220,2985.64,3,1,1,311,Can't Loose Customers
75,8,2252,7130.63,3,2,2,322,Recent Users
76,8,2193,7425.04,3,2,2,322,Recent Users
77,3,2293,2964.73,2,1,1,211,Other
78,2,2403,1139.12,2,1,1,211,Other
79,6,2235,6761.43,3,2,2,322,Recent Users
80,10,2220,12564.82,3,3,3,333,Champions
81,4,2196,4421.7,3,1,1,311,Can't Loose Customers
82,5,2270,5293.91,3,2,2,322,Recent Users
83,6,2272,4464.65,3,2,1,321,Price Sensitive
84,7,2220,5464.650000000001,3,2,2,322,Recent Users
85,6,2229,3158.6299999999997,3,2,1,321,Price Sensitive
86,9,2192,7319.35,3,3,2,332,Other
87,9,2210,7994.73,3,3,2,332,Other
88,6,2266,5550.83,3,2,2,322,Recent Users
89,9,2196,12741.44,3,3,3,333,Champions
90,7,2222,7703.58,3,2,2,322,Recent Users
91,8,2201,8066.4400000000005,3,2,2,322,Recent Users
92,3,2226,5098.43,3,1,2,312,Other
93,3,2271,5276.129999999999,3,1,2,312,Other
94,7,2225,8305.77,3,2,2,322,Recent Users
95,4,2230,5049.799999999999,3,1,2,312,Other
96,4,2262,3874.84,3,1,1,311,Can't Loose Customers
97,8,2294,8895.95,2,2,2,222,Loyal Customers
98,5,2314,6180.05,2,2,2,222,Loyal Customers
99,9,2194,8279.06,3,3,2,332,Other
100,2,2203,2748.2,3,1,1,311,Can't Loose Customers
101,4,2200,4309.82,3,1,1,311,Can't Loose Customers
102,7,2234,6659.22,3,2,2,322,Recent Users
103,5,2241,4909.84,3,2,1,321,Price Sensitive
104,9,2256,8985.64,3,3,2,332,Other
105,4,2281,6234.35,3,1,2,312,Other
106,3,2193,2906.16,3,1,1,311,Can't Loose Customers
107,4,2273,3345.1000000000004,3,1,1,311,Can't Loose Customers
108,3,2202,3556.66,3,1,1,311,Can't Loose Customers
109,10,2200,10661.51,3,3,3,333,Champions
110,7,2206,7788.71,3,2,2,322,Recent Users
111,4,2339,4873.0599999999995,2,1,1,211,Other
112,6,2239,9059.89,3,2,2,322,Recent Users
113,6,2367,5412.969999999999,2,2,2,222,Loyal Customers
114,4,2262,3233.0,3,1,1,311,Can't Loose Customers
115,8,2206,8398.18,3,2,2,322,Recent Users
116,8,2204,5663.92,3,2,2,322,Recent Users
117,10,2197,12856.83,3,3,3,333,Champions
118,5,2261,5319.51,3,2,2,322,Recent Users
119,4,2222,5217.66,3,1,2,312,Other
120,3,2321,3118.34,2,1,1,211,Other
121,4,2303,4327.44,2,1,1,211,Other
122,5,2200,6533.389999999999,3,2,2,322,Recent Users
123,4,2383,5337.79,2,1,2,212,Other
124,7,2194,8272.15,3,2,2,322,Recent Users
125,10,2275,7107.32,3,3,2,332,Other
126,3,2203,3448.12,3,1,1,311,Can't Loose Customers
127,10,2215,9949.62,3,3,2,332,Other
128,4,2329,3679.75,2,1,1,211,Other
129,4,2370,4090.48,2,1,1,211,Other
130,2,2268,3340.42,3,1,1,311,Can't Loose Customers
131,6,2397,8745.28,2,2,2,222,Loyal Customers
132,6,2199,7365.93,3,2,2,322,Recent Users
133,5,2218,3164.55,3,2,1,321,Price Sensitive
134,6,2206,7170.95,3,2,2,322,Recent Users
135,7,2307,6860.46,2,2,2,222,Loyal Customers
136,8,2212,9406.85,3,2,2,322,Recent Users
137,5,2219,3507.0499999999997,3,2,1,321,Price Sensitive
138,7,2256,4927.35,3,2,1,321,Price Sensitive
139,9,2218,10638.89,3,3,3,333,Champions
140,6,2195,7649.34,3,2,2,322,Recent Users
141,3,2351,4053.9800000000005,2,1,1,211,Other
142,11,2196,12474.74,3,3,3,333,Champions
143,4,2205,4689.21,3,1,1,311,Can't Loose Customers
144,8,2198,8961.14,3,2,2,322,Recent Users
145,7,2220,8149.19,3,2,2,322,Recent Users
146,2,2386,1973.29,2,1,1,211,Other
147,6,2226,8079.09,3,2,2,322,Recent Users
148,5,2235,5808.83,3,2,2,322,Recent Users
149,6,2210,7091.73,3,2,2,322,Recent Users
150,4,2267,3630.96,3,1,1,311,Can't Loose Customers
151,8,2192,13047.54,3,2,3,323,Other
152,2,2350,2941.37,2,1,1,211,Other
153,7,2256,7808.16,3,2,2,322,Recent Users
154,6,2215,3558.31,3,2,1,321,Price Sensitive
155,3,2200,4008.51,3,1,1,311,Can't Loose Customers
156,5,2208,4831.58,3,2,1,321,Price Sensitive
157,4,2327,2541.39,2,1,1,211,Other
158,6,2257,7221.05,3,2,2,322,Recent Users
159,6,2258,6016.32,3,2,2,322,Recent Users
160,2,2285,3024.58,3,1,1,311,Can't Loose Customers
161,1,2351,1148.64,2,1,1,211,Other
162,3,2290,3317.47,3,1,1,311,Can't Loose Customers
163,2,2306,3089.24,2,1,1,211,Other
164,3,2390,2583.85,2,1,1,211,Other
165,9,2200,9893.75,3,3,2,332,Other
166,8,2255,9737.72,3,2,2,322,Recent Users
167,9,2206,9888.61,3,3,2,332,Other
168,9,2328,10135.25,2,3,3,233,Potential Loyalists
169,3,2253,2065.08,3,1,1,311,Can't Loose Customers
170,4,2292,4254.31,2,1,1,211,Other
171,9,2210,9865.380000000001,3,3,2,332,Other
172,8,2203,10150.14,3,2,3,323,Other
173,9,2207,14061.48,3,3,3,333,Champions
174,10,2203,12893.57,3,3,3,333,Champions
175,5,2256,6008.03,3,2,2,322,Recent Users
176,5,2214,6733.15,3,2,2,322,Recent Users
177,12,2229,11826.34,3,3,3,333,Champions
178,4,2224,3504.09,3,1,1,311,Can't Loose Customers
179,3,2232,3168.84,3,1,1,311,Can't Loose Customers
180,7,2203,7970.57,3,2,2,322,Recent Users
181,6,2242,5663.9,3,2,2,322,Recent Users
182,7,2205,9279.01,3,2,2,322,Recent Users
183,6,2294,5947.98,2,2,2,222,Loyal Customers
184,3,2224,3734.88,3,1,1,311,Can't Loose Customers
185,7,2200,9254.279999999999,3,2,2,322,Recent Users
186,6,2215,5550.85,3,2,2,322,Recent Users
187,7,2206,6898.79,3,2,2,322,Recent Users
188,6,2207,5126.07,3,2,2,322,Recent Users
189,5,2195,8633.69,3,2,2,322,Recent Users
190,4,2221,3083.07,3,1,1,311,Can't Loose Customers
191,1,2297,1065.03,2,1,1,211,Other
192,4,2271,3836.29,3,1,1,311,Can't Loose Customers
193,5,2216,7368.36,3,2,2,322,Recent Users
194,3,2300,4313.530000000001,2,1,1,211,Other
195,7,2192,12479.46,3,2,3,323,Other
196,8,2338,6346.61,2,2,2,222,Loyal Customers
197,9,2219,8456.02,3,3,2,332,Other
198,9,2250,11648.85,3,3,3,333,Champions
199,4,2207,4323.860000000001,3,1,1,311,Can't Loose Customers
200,9,2199,11117.36,3,3,3,333,Champions
201,8,2220,9167.380000000001,3,2,2,322,Recent Users
202,3,2210,2511.82,3,1,1,311,Can't Loose Customers
203,5,2203,4376.26,3,2,1,321,Price Sensitive
204,8,2219,11444.0,3,2,3,323,Other
205,9,2244,6904.88,3,3,2,332,Other
206,4,2269,5633.8099999999995,3,1,2,312,Other
207,3,2471,4448.26,1,1,1,111,Lost Customers
208,5,2219,5158.98,3,2,2,322,Recent Users
209,5,2299,6093.4800000000005,2,2,2,222,Loyal Customers
210,6,2214,8805.2,3,2,2,322,Recent Users
211,9,2231,10073.76,3,3,3,333,Champions
212,2,2379,2429.8,2,1,1,211,Other
213,11,2220,13555.56,3,3,3,333,Champions
214,6,2248,6834.46,3,2,2,322,Recent Users
215,8,2195,8485.16,3,2,2,322,Recent Users
216,5,2208,5830.97,3,2,2,322,Recent Users
217,8,2196,11465.25,3,2,3,323,Other
218,5,2206,4232.68,3,2,1,321,Price Sensitive
219,7,2232,7915.57,3,2,2,322,Recent Users
220,6,2207,7458.69,3,2,2,322,Recent Users
221,6,2210,6729.84,3,2,2,322,Recent Users
222,2,2212,2626.81,3,1,1,311,Can't Loose Customers
223,7,2244,9805.5,3,2,2,322,Recent Users
224,6,2193,6209.46,3,2,2,322,Recent Users
225,3,2229,2416.13,3,1,1,311,Can't Loose Customers
226,2,2308,1639.95,2,1,1,211,Other
227,5,2218,5589.13,3,2,2,322,Recent Users
228,5,2269,5178.17,3,2,2,322,Recent Users
229,5,2252,4473.07,3,2,1,321,Price Sensitive
230,11,2228,11755.6,3,3,3,333,Champions
231,4,2237,5338.64,3,1,2,312,Other
232,6,2333,4132.44,2,2,1,221,Other
233,6,2209,5218.62,3,2,2,322,Recent Users
234,10,2203,11557.99,3,3,3,333,Champions
235,11,2194,9629.61,3,3,2,332,Other
236,4,2198,5255.34,3,1,2,312,Other
237,8,2218,7156.79,3,2,2,322,Recent Users
238,5,2299,5838.6,2,2,2,222,Loyal Customers
239,9,2193,12986.130000000001,3,3,3,333,Champions
240,6,2280,5689.53,3,2,2,322,Recent Users
241,4,2239,3855.87,3,1,1,311,Can't Loose Customers
242,7,2323,7798.25,2,2,2,222,Loyal Customers
243,6,2266,8818.380000000001,3,2,2,322,Recent Users
244,4,2386,6290.66,2,1,2,212,Other
245,5,2204,4855.26,3,2,1,321,Price Sensitive
246,9,2219,9724.98,3,3,2,332,Other
247,7,2304,9778.37,2,2,2,222,Loyal Customers
248,7,2326,8902.16,2,2,2,222,Loyal Customers
249,9,2239,6569.14,3,3,2,332,Other
250,7,2223,9866.27,3,2,2,322,Recent Users
251,4,2230,3425.0,3,1,1,311,Can't Loose Customers
252,5,2254,5565.48,3,2,2,322,Recent Users
253,5,2209,2932.39,3,2,1,321,Price Sensitive
254,7,2233,9801.07,3,2,2,322,Recent Users
255,12,2249,14949.91,3,3,3,333,Champions
256,5,2192,5861.16,3,2,2,322,Recent Users
257,5,2284,7616.05,3,2,2,322,Recent Users
258,5,2210,4816.4,3,2,1,321,Price Sensitive
259,4,2219,5329.9400000000005,3,1,2,312,Other
260,9,2200,8587.0,3,3,2,332,Other
261,9,2242,9137.67,3,3,2,332,Other
262,5,2202,4597.37,3,2,1,321,Price Sensitive
263,7,2238,7902.84,3,2,2,322,Recent Users
264,5,2240,4018.37,3,2,1,321,Price Sensitive
265,4,2271,4809.14,3,1,1,311,Can't Loose Customers
266,4,2224,4191.43,3,1,1,311,Can't Loose Customers
267,4,2322,5029.25,2,1,2,212,Other
268,4,2261,5104.56,3,1,2,312,Other
269,5,2360,5215.37,2,2,2,222,Loyal Customers
270,7,2199,7413.610000000001,3,2,2,322,Recent Users
271,2,2394,2293.0200000000004,2,1,1,211,Other
272,7,2283,7345.17,3,2,2,322,Recent Users
273,10,2220,11372.24,3,3,3,333,Champions
274,4,2341,2597.6800000000003,2,1,1,211,Other
275,7,2324,8902.17,2,2,2,222,Loyal Customers
276,6,2195,6112.08,3,2,2,322,Recent Users
277,4,2213,4539.22,3,1,1,311,Can't Loose Customers
278,1,2440,1228.07,1,1,1,111,Lost Customers
279,6,2206,3817.17,3,2,1,321,Price Sensitive
280,11,2235,12587.58,3,3,3,333,Champions
281,4,2201,3537.46,3,1,1,311,Can't Loose Customers
282,2,2261,2565.84,3,1,1,311,Can't Loose Customers
283,6,2283,8380.59,3,2,2,322,Recent Users
284,5,2325,5874.839999999999,2,2,2,222,Loyal Customers
285,6,2199,6725.29,3,2,2,322,Recent Users
286,4,2329,6402.0599999999995,2,1,2,212,Other
287,1,2330,2083.94,2,1,1,211,Other
288,4,2236,3936.5699999999997,3,1,1,311,Can't Loose Customers
289,10,2236,11383.07,3,3,3,333,Champions
290,5,2203,5912.93,3,2,2,322,Recent Users
291,2,2232,983.55,3,1,1,311,Can't Loose Customers
292,7,2250,8825.97,3,2,2,322,Recent Users
293,5,2202,5175.56,3,2,2,322,Recent Users
294,7,2307,8719.14,2,2,2,222,Loyal Customers
295,7,2226,5956.46,3,2,2,322,Recent Users
